"","cov","total_rmse","total_aic","cv","model"
"1","PDOlarv",1.02060298012218,1.38080267833712,"LFO_5","NS"
"2","ONIpjuv",1.09797527200475,3.01273791603045,"LFO_5","NS"
"3","BeutiSTIpjuv",1.15979805562401,1.10154565318879,"LFO_5","NS"
"4","Tcop",1.21135317407295,3.08452332680412,"LFO_5","NS"
"5","HCIlarv",1.25235389853048,3.05076832333426,"LFO_5","NS"
"6","DDpjuv",1.25632956324604,4.94009841826618,"LFO_5","NS"
"7","DDpre",1.26336521961758,4.67365685664176,"LFO_5","NS"
"8","MLDlarv",1.27268272588745,4.61038719673934,"LFO_5","NS"
"9","CSTlarv",1.27686066593874,4.57150277337975,"LFO_5","NS"
"10","LSTlarv",1.27850806843901,3.71646219991925,"LFO_5","NS"
"11","DDegg",1.28234562356706,3.76541648595949,"LFO_5","NS"
"12","DDben",1.2943950079115,3.52731388482469,"LFO_5","NS"
"13","Tpart",1.31550718882162,3.39049303220316,"LFO_5","NS"
"14","MLDpart",1.3163193858219,5.36282944025412,"LFO_5","NS"
"15","LSTpjuv",1.36356784166143,5.45686664447198,"LFO_5","NS"
"16","PDOpjuv",1.3741348654054,2.69359223999146,"LFO_5","NS"
"17","HCIpjuv",1.39407136606196,1.84381564295615,"LFO_5","NS"
"18","MLDpjuv",1.39444600529427,7.85558685494573,"LFO_5","NS"
"19","DDlarv",1.41180523911409,4.22457429427246,"LFO_5","NS"
"20","BeutiTUMIpjuv",1.41425988942354,11.0540819077148,"LFO_5","NS"
"21","CutiSTIpjuv",1.4740354743389,7.88255822300782,"LFO_5","NS"
"22","CutiTUMIpjuv",1.60262504588912,12.3101083214463,"LFO_5","NS"
"23","CSTpjuv",1.70369149498742,7.52594464204506,"LFO_5","NS"
"24","ONIpre",2.73254514588451,13.9477020424185,"LFO_5","NS"
"25","Tcop",1.07617727366893,-1.39348466373621,"LOO","NS"
"26","MLDlarv",1.07781327111368,1.67546531581461,"LOO","NS"
"27","DDpre",1.09579281092518,-0.34777054155197,"LOO","NS"
"28","Tpart",1.09775125202246,-1.66532529550614,"LOO","NS"
"29","PDOpjuv",1.10533860133481,-1.1443531554931,"LOO","NS"
"30","DDegg",1.11795446060107,-0.5648517058572,"LOO","NS"
"31","ONIpjuv",1.1205031796824,-0.207611738165303,"LOO","NS"
"32","LSTpjuv",1.12372771416129,-0.855352832071169,"LOO","NS"
"33","DDben",1.13452046417074,-1.30160150194036,"LOO","NS"
"34","CSTlarv",1.14209304298576,-2.0791238483413,"LOO","NS"
"35","DDpjuv",1.14514374773652,-0.350505509849876,"LOO","NS"
"36","BeutiSTIpjuv",1.152519022294,-2.32915066150285,"LOO","NS"
"37","MLDpart",1.15515392208627,1.52772355942383,"LOO","NS"
"38","CutiSTIpjuv",1.15663248809446,-1.24202119467933,"LOO","NS"
"39","CSTpjuv",1.15946619579304,-0.501663423252226,"LOO","NS"
"40","HCIlarv",1.16623539612133,-0.225919430534196,"LOO","NS"
"41","PDOlarv",1.16795366490128,-1.00728941465589,"LOO","NS"
"42","DDlarv",1.16824968699961,-1.1880982136563,"LOO","NS"
"43","BeutiTUMIpjuv",1.17716360642614,-1.10347462775781,"LOO","NS"
"44","HCIpjuv",1.18107340421346,-2.24489616037845,"LOO","NS"
"45","CutiTUMIpjuv",1.18294917290542,-1.51739959689774,"LOO","NS"
"46","MLDpjuv",1.1864370471081,-1.08226550674525,"LOO","NS"
"47","ONIpre",1.26813578522868,5.40270611800757,"LOO","NS"
"48","LSTlarv",1.29556892394294,-2.16162339233791,"LOO","NS"
