"","X","cov","total_rmse","total_aic","cv","model","RMSE_perc","type"
"1",53,"CutiSTIpjuv",0.899649633627463,9.42157711045014,"LFO_10","GAM",0.100350366372537,"Upwelling"
"2",54,"MLDpart",0.909573255797292,6.55936522475585,"LFO_10","GAM",0.090426744202708,"Transport"
"3",55,"MLDlarv",0.913435155061664,8.67000792109546,"LFO_10","GAM",0.086564844938336,"Transport"
"4",56,"DDegg",0.96472771707569,6.12508102039337,"LFO_10","GAM",0.03527228292431,"Temperature"
"5",57,"ONIpjuv",0.96571640221371,7.92349185322463,"LFO_10","GAM",0.03428359778629,"Temperature"
"6",55,"CutiSTIpjuv +I(CutiSTIpjuv^2)",0.905079194621867,8.1197910010751,"LFO_10","LM",0.094920805378133,"Upwelling"
"7",56,"MLDlarv",0.967879237868025,8.19051487537812,"LFO_10","LM",0.032120762131975,"Transport"
"8",57,"MLDpart",0.974840616860684,6.16048864780687,"LFO_10","LM",0.025159383139316,"Transport"
"9",27,"LSTlarv",0.768591919498633,2.31228326500986,"LFO_5","GAM",0.231408080501367,"Transport"
"10",28,"PDOlarv",0.8427711906392,0.764650699718063,"LFO_5","GAM",0.1572288093608,"Temperature"
"11",29,"DDlarv",0.858676938907099,0.824010457313122,"LFO_5","GAM",0.141323061092901,"Temperature"
"12",30,"DDpre",0.879333916588965,1.64751290220898,"LFO_5","GAM",0.120666083411035,"Temperature"
"13",31,"Tpart",0.886148191177689,0.879551139117974,"LFO_5","GAM",0.113851808822311,"Temperature"
"14",28,"PDOlarv",0.796668917289143,0.550132740589281,"LFO_5","LM",0.203331082710857,"Temperature"
"15",29,"DDlarv",0.799824301799141,0.720274220911301,"LFO_5","LM",0.200175698200859,"Temperature"
"16",30,"HCIlarv",0.809715451677841,0.459687484459608,"LFO_5","LM",0.190284548322159,"Temperature"
"17",31,"Tpart",0.822820885750855,0.643528064998221,"LFO_5","LM",0.177179114249145,"Temperature"
"18",32,"dfa",0.842873261872242,0.579408568146602,"LFO_5","LM",0.157126738127758,"Temperature"
"19",1,"CutiSTIpjuv",0.930647798267434,4.85137036114124,"LOO","GAM",0.069352201732566,"Upwelling"
"20",2,"LSTlarv",0.941071370075283,2.15892228682474,"LOO","GAM",0.058928629924717,"Transport"
"21",3,"MLDlarv",0.950836784898444,2.25504456618927,"LOO","GAM",0.049163215101556,"Transport"
"22",4,"Tcop",0.988778507438597,-0.52749561766759,"LOO","GAM",0.011221492561403,"Temperature"
"23",1,"CutiSTIpjuv +I(CutiSTIpjuv^2)",0.824588097323515,6.26945540215463,"LOO","LM",0.175411902676485,"Upwelling"
"24",2,"MLDlarv",0.875409280307587,3.06253865681489,"LOO","LM",0.124590719692413,"Transport"
"25",3,"MLDpart",0.914027927396586,1.86128034157503,"LOO","LM",0.085972072603414,"Transport"
"26",4,"Tcop",0.914200653630668,0.521437023026109,"LOO","LM",0.085799346369332,"Temperature"
"27",5,"DDpre",0.915997044466216,0.813023852726047,"LOO","LM",0.084002955533784,"Temperature"
